tid,name,longtitude,latitude
2336,"thessaloniki",22.95,40.6333
2337,"antigua guatemala",-90.7328,14.5517
2338,"millau",3.07833,44.0986
2339,"naples",14.25,40.8333
2340,"oxford connecticut",-73.1168,41.434
2341,"tallinn",24.7549,59.4339
2342,"myrtle beach",-78.8869,33.6889
2343,"bedford stuyvesant brooklyn",-73.941111,40.683333
2344,"melbourne australia",144.967,-37.7833
2345,"hyannis",-70.2833,41.6528
2346,"hood river oregon",-121.52,45.7056
2347,"szentendre",19.0686,47.7044
2348,"sydney",151.209,-33.8683
2349,"boquete",-82.44,8.78
2350,"rincon puerto rico",-67.2517,18.3403
2351,"hong kong",114.167,22.3
2352,"cambridge",0.13,52.21
2353,"grasse",6.9258,43.6589
2354,"niagara falls ontario",-79.0667,43.1167
2355,"carnac",-3.07083,47.5728
2356,"san antonio",-98.4933,29.4239
2357,"val disere",6.9667,45.4506
2358,"nantes",-1.55278,47.2181
2359,"madrid",-3.6833,40.4
2360,"isla mujeres",-86.7167,21.2167
2361,"espanola",-106.08,35.9911
2362,"dominical",-83.8667,9.25
2363,"monopoli",17.3,40.95
2364,"ouro preto",-43.51,-20.3708
2365,"natal",-35.2,-5.7667
2366,"cochabamba",-66.1667,-17.3836
2367,"seoul",127,37.5833
2368,"monterey california",-121.894,36.6003
2369,"kandahar",65.7053,31.6078
2370,"tokyo",139.767,35.6833
2371,"middletown",-72.6511,41.5622
2372,"rawalpindi",73.05,33.6
2373,"rovinj",13.6333,45.0833
2374,"hanover",9.73526,52.3699
2375,"manchester",-71.4553,42.9956
2376,"seward",-149.433,60.1244
2377,"autun",4.29874,46.9503
2378,"basra",47.8236,30.4944
2379,"mendocino",-123.798,39.3078
2380,"eging am see",13.2667,48.7167
2381,"nafplion",22.8093,37.5713
2382,"al anbar governorate",41.75,33
2383,"buenos aires",-58.3817,-34.6036
2384,"shimla",77.1722,31.1033
2385,"deer isle",-68.6781,44.2239
2386,"asgabat",58.3333,37.9667
2387,"kirkuk",44.3922,35.4664
2388,"cuenca ecuador",-79.0153,-2.89917
2389,"perugia",12.3833,43.1167
2390,"ojai",-119.242,34.4481
2391,"portsmouth new hampshire",-70.7631,43.0717
2392,"vina del mar",-71.5417,-33.0333
2393,"hua hin",99.9578,12.5686
2394,"paris texas",-95.5553,33.6608
2395,"london",-0.106196,51.5171
2396,"punta del este",-54.95,-34.9667
2397,"armonk",-73.7144,41.1264
2398,"el chalten",-72.93,-49.3289
2399,"los angeles",-118.243,34.0522
2400,"giverny",1.53,49.0769
2401,"ditmas park brooklyn",-73.961,40.64
2402,"copenhagen",12.5687,55.675
2403,"segovia",-4.11667,40.95
2404,"millbrook",-73.6944,41.785
2405,"patchogue",-73.0156,40.7656
2406,"verbier",7.21667,46.1
2407,"sderot",34.5833,31.5167
2408,"bridgehampton",-72.3014,40.9378
2409,"salzburg",13.0333,47.8
2410,"addis ababa",38.7369,9.02722
2411,"chartres",1.48583,48.4436
2412,"ocracoke",-75.9814,35.1144
2413,"cologne",7.02919,50.9424
2414,"north salem",-73.5717,41.3347
2415,"luxor",32.6422,25.6969
2416,"mumbai",72.8258,18.9647
2417,"manteca",-121.215,37.7975
2418,"kathmandu",85.3667,27.7167
2419,"dhaka",90.3833,23.7
2420,"dujiangyan",103.5,30.9
2421,"san miguel de allende",-100.75,20.915
2422,"bowery manhattan",-73.994128,40.719894
2423,"pawtucket",-71.3831,41.8786
2424,"kansas city",-94.5783,39.0997
2425,"vilnius",25.2833,54.6833
2426,"eilat",34.95,29.55
2427,"montreal",-73.555,45.5081
2428,"shanghai",121.5,31.2
2429,"ossining new york",-73.856667,41.165278
2430,"kanazawa",136.647,36.5619
2431,"lucca",10.5014,43.8442
2432,"mount pleasant new york",-73.8,41.1
2433,"vevey",6.84194,46.4592
2434,"hakone",139.033,35.1833
2435,"stellenbosch western cape",18.86,-33.92
2436,"cirencester",-1.96346,51.7124
2437,"puerto vallarta",-105.234,20.6031
2438,"long beach new york",-73.6583,40.5883
2439,"catano puerto rico",-66.1183,18.4414
2440,"san luis obispo",-120.659,35.2828
2441,"ciudad juarez",-106.475,31.7333
2442,"guangzhou",113.266667,23.133333
2443,"pattaya",100.887,12.9363
2444,"midwood brooklyn",-73.961678,40.623334
2445,"silverton colorado",-107.664,37.8119
2446,"clinton hill brooklyn",-73.9653,40.6897
2447,"luang prabang",102.133,19.8833
2448,"new paltz new york",-74.0873,41.749
2449,"moab utah",-109.549722,38.5725
2450,"parma",10.3333,44.8
2451,"dunedin",170.5,-45.89
2452,"providence",-71.4133,41.8239
2453,"breezy point queens",-73.9262,40.5565
2454,"xalapa",-96.9275,19.54
2455,"san jose del cabo",-109.683,23.05
2456,"donostia",-1.98,43.32
2457,"key west",-81.7828,24.5553
2458,"chennai",80.274,13.081
2459,"galway",-9.05033,53.2734
2460,"jackson heights queens",-73.8791,40.7521
2461,"lyon",4.8342,45.7669
2462,"salt lake city",-111.883333,40.75
2463,"omaha nebraska",-95.9375,41.2586
2464,"oxford",-1.25583,51.7511
2465,"bangkok",100.483,13.75
2466,"downtown brooklyn",-73.9859,40.6937
2467,"sadr city",44.4583,33.3889
2468,"new york county",-73.9735,40.7697
2469,"ridgefield",-73.4986,41.2814
2470,"bay ridge brooklyn",-74.031,40.627
2471,"huntsville",-86.5861,34.7303
2472,"casablanca",-7.62,33.5992
2473,"saint paul",-93.0931,44.9444
2474,"messene",22,37.05
2475,"park slope brooklyn",-73.986,40.6701
2476,"dunhuang",94.65,40.1
2477,"jakarta",106.75,-6.1333
2478,"bethel new york",-74.8658,41.6808
2479,"varanasi",82.9557,25.2807
2480,"belfast",-5.91667,54.6
2481,"memphis tennessee",-90.0489,35.1494
2482,"hermanus",19.2438,-34.4204
2483,"cadiz",-6.28333,36.5167
2484,"lafayette louisiana",-92.0294,30.2139
2485,"zagreb",15.9833,45.8167
2486,"chengdu",104.067,30.6636
2487,"shenzhen",114.1,22.55
2488,"athens",23.7278,37.9778
2489,"cleveland ohio",-81.669722,41.482222
2490,"york",-1.08333,53.95
2491,"assisi",12.6167,43.0667
2492,"bamberg",10.8854,49.8955
2493,"tiradentes brazil",-44.2114,-21.1103
2494,"kansas city kansas",-94.6272,39.1142
2495,"nasiriyah",46.2667,31.05
2496,"beirut",35.5,33.8833
2497,"dijon",5.04278,47.3239
2498,"vientiane",102.6,17.9667
2499,"irvington",-74.2319,40.7256
2500,"ayacucho",-74.2244,-13.1631
2501,"monhegan",-69.3203,43.7622
2502,"colmar",7.36667,48.0667
2503,"naples florida",-81.795,26.1417
2504,"cuetzalan",-97.5195,20.0172
2505,"ottawa",-75.6919,45.4214
2506,"sintra",-9.38919,38.7977
2507,"fallujah",43.7869,33.3525
2508,"locust valley",-73.5975,40.8758
2509,"shanksville",-78.9058,40.0172
2510,"pompeii",14.4897,40.7506
2511,"pyongyang",125.75,39.0333
2512,"klosters",9.883333,46.883333
2513,"bangalore",77.5833,12.9833
2514,"ayodhya",82.2,26.8
2515,"macau",113.55,22.1667
2516,"bordeaux",-0.578333,44.8386
2517,"darwin",130.833,-12.4667
2518,"graz",15.4389,47.0703
2519,"versailles",2.135,48.8053
2520,"phoenix",-112.066667,33.45
2521,"lausanne",6.63333,46.5167
2522,"kobe",135.197,34.6911
2523,"new canaan",-73.4953,41.1467
2524,"carmel by the sea",-121.922,36.5553
2525,"riga",24.104,56.9496
2526,"franschhoek western cape",-33.9167,19.1167
2527,"seaside florida",-86.1416,30.321
2528,"key largo",-80.4473,25.0865
2529,"ushuaia",-68.3,-54.8
2530,"spoleto",12.7333,42.7333
2531,"santiago de compostela",-8.53333,42.8833
2532,"northport new york",-73.3436,40.9008
2533,"pittsburgh",-79.9961,40.4406
2534,"kips bay",-73.9783,40.7414
2535,"sao paulo",-46.6167,-23.5
2536,"park city",-111.497,40.6461
2537,"patzcuaro",-101.609,19.5158
2538,"pensacola",-87.2169,30.4211
2539,"sochi",39.7228,43.6127
2540,"bormio",10.3667,46.4667
2541,"puntarenas",-84.8333,9.9667
2542,"qingdao",120.333,36.0833
2543,"kep cambodia",104.317,10.4831
2544,"kyoto",135.75,35
2545,"lima",-77.0283,-12.0433
2546,"plovdiv",24.75,42.15
2547,"fujairah",56.333333,25.266667
2548,"gaiman",-65.4971,-43.29
2549,"blackpool",-3.03333,53.8333
2550,"jaipur",75.82,26.92
2551,"norilsk",88.2236,69.3298
2552,"algiers",3.05,36.7667
2553,"portland",-122.675,45.5236
2554,"sofia",23.36,42.66
2555,"peekskill",-73.9208,41.29
2556,"cork",-8.47306,51.9
2557,"lanai",-156.933,20.8333
2558,"leavenworth washington",-120.66,47.5964
2559,"kew gardens queens",-73.827139,40.705644
2560,"salida",-105.998,38.5347
2561,"siena",11.3333,43.3333
2562,"hanau",8.91541,50.1358
2563,"sarasota",-82.5308,27.3361
2564,"el alto",-68.1667,-16.5167
2565,"samarra",43.8742,34.1985
2566,"mott haven bronx",-73.9229,40.809
2567,"sacramento",-121.493,38.5817
2568,"milford pennsylvania",-74.8028,41.3222
2569,"hiroshima",132.476,34.3987
2570,"new rochelle",-73.7828,40.9114
2571,"mendoza",-68.842,-32.8905
2572,"rotterdam",4.4811,51.9217
2573,"san diego",-117.156,32.7153
2574,"innsbruck",11.3928,47.2671
2575,"curitiba",-49.2535,-25.4687
2576,"paterson",-74.1722,40.9167
2577,"naypyidaw",96.1,19.75
2578,"caracas",-66.8992,10.5
2579,"mont tremblant",-74.5856,46.2122
2580,"santiago chile",-70.6667,-33.45
2581,"new delhi",77.2167,28.6667
2582,"malindi",40.1167,-3.2167
2583,"padua",11.8667,45.4167
2584,"santa cruz de la sierra",-63.1975,-17.7892
2585,"dingle",-10.2715,52.1399
2586,"morelia",-101.183,19.7
2587,"ravenna",12.2,44.4167
2588,"bursa",29.0667,40.1861
2589,"palmetto georgia",-84.6678,33.5211
2590,"raleigh",-78.6389,35.7719
2591,"florianopolis",-48.5524,-27.5929
2592,"ho chi minh city",106.667,10.75
2593,"new castle delaware",-75.5667,39.6619
2594,"samthar",78.9167,25.85
2595,"honfleur",0.2325,49.4194
2596,"warsaw",21.0108,52.23
2597,"ferrara",11.62,44.83
2598,"hyderabad",78.4667,17.3667
2599,"kennebunkport",-70.4772,43.3617
2600,"aubusson creuse",2.1683,45.9569
2601,"darjeeling",88.2644,27.0436
2602,"aveiro",-8.65,40.6333
2603,"ani",43.5728,40.5075
2604,"punta arenas",-70.9064,-53.1554
2605,"queenstown",168.645,-45.0428
2606,"prague",14.4167,50.0833
2607,"ajman",55.5167,25.3833
2608,"beslan",44.5667,43.2
2609,"guimaraes",-8.294,41.4428
2610,"cannes",7.01275,43.5513
2611,"zihuatanejo",-101.55,17.6333
2612,"zaragoza",-0.9,41.65
2613,"sheepshead bay brooklyn",-73.942,40.582
2614,"beaune",4.83972,47.025
2615,"lake placid",-73.9803,44.2794
2616,"arezzo",11.8833,43.4667
2617,"scottsdale",-111.898,33.5092
2618,"las cruces",-106.765,32.3197
2619,"villarrica chile",-72.2167,-39.2667
2620,"barcelona",2.16994,41.3857
2621,"frankfurt",8.68333,50.1167
2622,"bologna",11.35,44.5
2623,"luanda",13.245,-8.83083
2624,"baghdad",44.392,33.3191
2625,"urumqi",87.6089,43.7958
2626,"bayeux",-0.7019,49.2753
2627,"dubai",55.3095,25.2697
2628,"valencia",-0.374444,39.4767
2629,"napa",-122.284,38.2972
2630,"dharamsala",76.3167,32.2167
2631,"milwaukee",-87.9064,43.0389
2632,"newark",-74.1728,40.7356
2633,"seneca falls new york",-76.7978,42.9086
2634,"lecce",18.1667,40.35
2635,"pisa",10.4,43.7167
2636,"malibu",-118.779,34.0306
2637,"palm springs",-116.544,33.8303
2638,"kaesong",126.556,37.9722
2639,"chengde",117.933,40.9669
2640,"hollywood",-118.333,34.1
2641,"dubrovnik",18.1083,42.6403
2642,"san german puerto rico",-67,18
2643,"corona queens",-73.865,40.735
2644,"bayreuth",11.5783,49.9481
2645,"sedona",-111.76,34.8697
2646,"la paz",-68.1475,-16.4942
2647,"revelstoke canada",-118.214,51.01
2648,"kalkan",29.4083,36.2581
2649,"taipei",121.533,25.0333
2650,"antalya",30.7047,36.8906
2651,"pawleys island",-79.125,33.4292
2652,"lucerne",8.3,47.05
2653,"hamburg",10.0386,53.5686
2654,"istanbul",28.9744,41.0128
2655,"nancy",6.16667,48.6833
2656,"zurich",8.53803,47.369
2657,"noho",-73.99253,40.72863
2658,"arles",4.61667,43.6667
2659,"auxerre",3.56778,47.7983
2660,"greenwich",-0.0106,51.4789
2661,"chernobyl",30.2167,51.2667
2662,"pittsfield",-73.2458,42.45
2663,"kunming",102.705,25.0417
2664,"florence",11.2536,43.7717
2665,"essaouira",-9.7697,31.5131
2666,"margaret river",115.075,-33.955
2667,"newburyport",-70.8778,42.8125
2668,"acapulco",-99.9097,16.8517
2669,"pasadena",-118.131944,34.156111
2670,"rossville staten island",-74.21,40.5466
2671,"st michaels",-76.2247,38.785
2672,"sucre",-65.2553,-19.0428
2673,"granada",-3.5975,37.1742
2674,"quito",-78.5097,-0.218611
2675,"karlovy vary",12.8725,50.2306
2676,"girona",2.81667,41.9833
2677,"carcassonne",2.35,43.2167
2678,"luxembourg luxembourg",6.13,49.6117
2679,"isle of palms",-79.795,32.7867
2680,"richland new york",-76.0478,43.5694
2681,"houston",-95.3631,29.7631
2682,"charlotte amalie",-64.95,18.35
2683,"brighton",-0.155556,50.83
2684,"dresden",13.7333,51.05
2685,"zermatt",7.74861,46.016667
2686,"wengen",7.9167,46.6
2687,"guilin",110.292,25.2706
2688,"ghent",3.71667,51.05
2689,"chamonix",6.8653,45.9189
2690,"scituate",-70.7264,42.1958
2691,"bergama",27.1757,39.1234
2692,"metuchen",-74.3636,40.5431
2693,"new brunswick new jersey",-74.4522,40.4861
2694,"crown heights brooklyn",-73.9447,40.6631
2695,"cascais",-9.420556,38.696944
2696,"verdun",5.38833,49.1594
2697,"sago west virginia",-80.2301,38.9143
2698,"bristol",-2.6,51.46
2699,"jackson",-90.1847,32.2986
2700,"cahors",1.44139,44.4483
2701,"beijing",116.4,39.91
2702,"golfito",-83.15,8.65
2703,"passaic",-74.1289,40.8567
2704,"fes",-5.00194,34.0442
2705,"mantua",10.8,45.1667
2706,"dakar",-17.4442,14.6962
2707,"lower east side manhattan",-73.988,40.719
2708,"nagasaki",129.867,32.7833
2709,"cutchogue",-72.4736,41.0106
2710,"st moritz",9.833333,46.5
2711,"jena louisiana",-92.1247,31.69
2712,"canberra",149.131,-35.2828
2713,"red bank new jersey",-74.0647,40.3469
2714,"norfolk virginia",-76.2599,36.8857
2715,"alajuela",-84.2167,10.0167
2716,"montauk",-71.955,41.0358
2717,"deauville",0.0714,49.3592
2718,"glasgow",-4.27,55.87
2719,"da nang",108.233,16.0667
2720,"provincetown",-70.1792,42.0583
2721,"salem massachusetts",-70.8972,42.5194
2722,"urgup",34.913056,38.631389
2723,"aragon",-1,41
2724,"marathon florida",-81.0906,24.7133
2725,"timbuktu",-3.009444,16.775833
2726,"niagara falls new york",-79.0569,43.0944
2727,"falls village connecticut",-73.3636,41.9564
2728,"battery park city manhattan",-74.0157,40.7127
2729,"johannesburg",28.0667,-26.2
2730,"kent connecticut",-73.4775,41.7247
2731,"durban",31.0236,-29.8697
2732,"sag harbor",-72.2931,40.9978
2733,"rome",12.5,41.9
2734,"rockland",-69.1094,44.1036
2735,"puerto viejo de sarapiqui",-84.005556,10.455556
2736,"saas-fee",7.92917,46.1097
2737,"la rochelle",-1.15,46.1667
2738,"cardiff",-3.1771,51.478
2739,"portland maine",-70.2558,43.6614
2740,"hot springs",-93.055,34.5036
2741,"cobble hill brooklyn",-73.995944,40.688194
2742,"saugatuck",-86.2019,42.655
2743,"ludlow united states",-72.7011,43.3958
2744,"verona",10.9833,45.4333
2745,"cortona",11.9833,43.2667
2746,"piermont new york",-73.9186,41.0419
2747,"bam",58.3583,29.1083
2748,"ankara",32.85,39.9167
2749,"greenburgh",-73.833056,41.031944
2750,"quebec city",-71.2189,46.8902
2751,"alice springs",133.87,-23.7
2752,"madison",-89.4011,43.0731
2753,"kinsale",-8.53056,51.7075
2754,"ocean city",-75.0853,38.3364
2755,"scarsdale",-73.785,41.005
2756,"salvador bahia",-38.5167,-12.9833
2757,"bilbao",-2.9667,43.25
2758,"princeton",-74.659,40.3487
2759,"delft",4.35861,52.0114
2760,"bonn",7.1,50.73
2761,"yokohama",139.65,35.45
2762,"long island city queens",-73.9487,40.7448
2763,"islip",-73.198889,40.756667
2764,"minneapolis",-93.2636,44.98
2765,"hells kitchen manhattan",-73.9945,40.7632
2766,"rockaway beach queens",-73.8115,40.5867
2767,"newport rhode island",-71.3133,41.49
2768,"sharjah",55.75,25
2769,"hay-on-wye",-3.13,52.08
2770,"new bedford",-70.9347,41.6361
2771,"kitzbuhel",12.4,47.4333
2772,"mammoth lakes",-118.971,37.6486
2773,"strasbourg",7.74375,48.5829
2774,"haines",-135.447,59.2339
2775,"lhasa",91.1,29.65
2776,"amarah",47.15,31.8333
2777,"lahore",74.3269,31.5758
2778,"port elizabeth eastern cape",25.602,-33.9608
2779,"silver city",-108.28,32.77
2780,"nantucket",-70.1,41.2833
2781,"broome",122.236,-17.962
2782,"avignon",4.81056,43.9467
2783,"cordoba",-4.78333,37.8833
2784,"north stonington",-71.8812,41.4409
2785,"niagara on the lake",-79.0841,43.2585
2786,"hamilton heights manhattan",-73.949,40.825
2787,"petropolis",-43.1789,-22.505
2788,"the hague",4.3111,52.0799
2789,"merca",44.8833,1.7167
2790,"puerto jimenez",-5170.87,8990.33
2791,"marseille",5.3772,43.2975
2792,"baqubah",44.6333,33.75
2793,"killington",-72.7798,43.6776
2794,"siwa oasis",25.55,29.1833
2795,"davos",9.83671,46.8045
2796,"killarney",-9.50712,52.0599
2797,"montecito",-119.631,34.4367
2798,"potsdam",13.07,52.4
2799,"louisville",-85.7594,38.2542
2800,"cape town",18.4244,-33.9767
2801,"udaipur",73.68,24.58
2802,"soweto",27.8659,-26.2661
2803,"missoula",-113.993,46.8722
2804,"saint-tropez",6.6394,43.2706
2805,"menton",7.5006,43.7756
2806,"roosevelt",-73.5894,40.6786
2807,"oxford mississippi",-89.5192,34.3664
2808,"puno",-70.0236,-15.8433
2809,"belize city",-88.1828,17.4964
2810,"gori region georgia",44.1,41.966667
2811,"laguna beach",-117.782,33.5422
2812,"fontainebleau",2.70222,48.4053
2813,"tikrit",43.6814,34.5947
2814,"islamabad",73.1667,33.6667
2815,"corinth",22.9333,37.9333
2816,"najaf",44.3244,31.9892
2817,"uppsala",17.6389,59.8586
2818,"san francisco",-122.418,37.775
2819,"toulouse",1.4428,43.6053
2820,"maspeth queens",-73.9125,40.7231
2821,"bucharest",26.1,44.4167
2822,"mahmudiya",44.366667,33.066667
2823,"split",16.4558,43.5139
2824,"qom",50.8789,34.6461
2825,"gansbaai western cape",19.35,-34.5833
2826,"szeged",20.1667,46.25
2827,"marrakech",-8.00028,31.6353
2828,"moscow",37.616667,55.75
2829,"granada nicaragua",-85.95,11.9333
2830,"recife",-34.8911,-8.05556
2831,"macon",-83.6325,32.8406
2832,"birmingham",-1.91,52.48
2833,"leipzig",12.38,51.34
2834,"berne",7.44583,46.95
2835,"brooklyn heights brooklyn",-73.9939,40.6998
2836,"sausalito",-122.484,37.8592
2837,"richmond virginia",-77.432889,37.540972
2838,"klosterneuburg",16.3167,48.3042
2839,"gijon",-5.66322,43.5405
2840,"vatican city",12.452,41.903
2841,"bradford",-1.75,53.8
2842,"akihabara",139.772,35.6984
2843,"larchmont",-73.7522,40.9278
2844,"miami",-80.224145,25.787676
2845,"fortaleza",-38.5748,-3.7737
2846,"saratoga springs",-73.785,43.0831
2847,"interlaken",7.86667,46.6833
2848,"hobart",147.325,-42.8806
2849,"flatiron district manhattan",-73.9896,40.7408
2850,"mobile",-88.0431,30.6942
2851,"laquila",13.4,42.35
2852,"ocean grove new jersey",-74.0069,40.2119
2853,"giza necropolis",31.1328,29.9761
2854,"krakow",19.9372,50.0614
2855,"oslo",10.7564,59.9494
2856,"islamorada",-80.6281,24.9239
2857,"paris",2.34695,48.8742
2858,"chiang mai",98.9865,18.7869
2859,"lockerbie",-3.35,55.1167
2860,"lagos",3.38333,6.45
2861,"liverpool",-3,53.4167
2862,"chappaqua",-73.7653,41.1594
2863,"lahinch",-9.34662,52.9315
2864,"poughkeepsie",-73.9214,41.7003
2865,"plainsboro",-74.6008,40.3333
2866,"berlin",13.4127,52.5233
2867,"bourges",2.39639,47.0839
2868,"nashville tennessee",-86.7844,36.1658
2869,"san juan puerto rico",-66.0689,18.4517
2870,"jerusalem",35.2167,31.7833
2871,"rye brook",-73.6833,41.0197
2872,"reno",-119.813,39.5297
2873,"singapore",103.75,1.3667
2874,"cartagena",-75.5,10.4
2875,"edirne",26.5608,41.6744
2876,"chinatown manhattan",-74.0025,40.7183
2877,"nairobi",36.8167,-1.28333
2878,"baden-baden",8.2411,48.7629
2879,"oxnard",-119.176,34.1975
2880,"karbala",44.0339,32.6161
2881,"hopewell junction",-73.7997,41.5842
2882,"goreme",34.8333,38.6667
2883,"new haven",-72.9286,41.3081
2884,"helsinki",24.9375,60.1708
2885,"adelaide",138.583,-34.9333
2886,"millerton",-73.5111,41.9536
2887,"simi valley",-118.781,34.2694
2888,"rehoboth beach",-75.0764,38.7208
2889,"cancun",-86.848,21.1617
2890,"trieste",13.8,45.6333
2891,"santo domingo",-69.9167,18.4833
2892,"carnegie hill manhattan",-73.956111,40.784722
2893,"heidelberg",8.6792,49.4034
2894,"santa cruz",-122.03,36.9742
2895,"hoffenheim",8.84444,49.2722
2896,"mazatlan",-106.417,23.2167
2897,"calcutta",88.3697,22.5697
2898,"port jefferson",-73.0697,40.9464
2899,"prospect heights brooklyn",-73.9694,40.6778
2900,"stuttgart",9.1775,48.7767
2901,"long branch",-73.9928,40.3042
2902,"ramadi",43.3,33.4167
2903,"leeds",-1.55,53.81
2904,"ljubljana",14.5,46.05
2905,"yangon",96.15,16.7833
2906,"rotorua",176.317,-38.1167
2907,"caratinga",-42.1333,-19.7833
2908,"clarence center",-78.6347,43.0111
2909,"cortina dampezzo",12.1333,46.5333
2910,"huntington beach",-117.998,33.6603
2911,"kashgar",76.05,39.4667
2912,"long beach",-118.188,33.7669
2913,"berchtesgaden",13.0023,47.6312
2914,"panama city",-79.5,9
2915,"santa fe",-105.937,35.6869
2916,"kufa",44.3947,32.0297
2917,"kochi",76.2167,9.9667
2918,"biarritz",-1.555,43.4797
2919,"amman",35.9333,31.95
2920,"garment district manhattan",-73.9888,40.7535
2921,"beverley",-0.427,53.845
2922,"ronda",-5.16392,36.7394
2923,"peshawar",71.5389,34.0117
2924,"bergen",5.34,60.38
2925,"siem reap",103.86,13.3622
2926,"annecy",6.12397,45.9094
2927,"shelter island",-72.350833,41.078056
2928,"dar es salaam",39.2839,-6.81667
2929,"osaka",135.523,34.6603
2930,"honolulu",-157.858,21.3069
2931,"nagoya",136.917,35.1667
2932,"manila",121,14.5833
2933,"budapest",19.05,47.5
2934,"turin",7.68584,45.0709
2935,"ras al-khaimah",55.95,25.783333
2936,"ithaca new york",-76.4969,42.4406
2937,"new london",-72.1,41.3556
2938,"oakland california",-122.27,37.8044
2939,"montgomery",-86.3,32.3667
2940,"kiawah island",-80.0978,32.6094
2941,"tirana",19.816,41.326
2942,"nagano",138.193,36.6486
2943,"valparaiso",-71.6011,-33.0478
2944,"nice",7.26917,43.7028
2945,"hanoi",105.798,21.0409
2946,"kelowna",-119.491,49.8849
2947,"olinda",-34.8911,-8.00278
2948,"garrison new york",-73.9456,41.3839
2949,"morningside heights manhattan",-73.9566,40.8102
2950,"khartoum",32.52,15.58
2951,"gothenburg",11.9869,57.6967
2952,"queens",-73.8204,40.7143
2953,"jaffna",80,9.6667
2954,"carroll gardens brooklyn",-73.994444,40.68
2955,"matsumoto",137.976,36.0689
2956,"damascus",36.3,33.5
2957,"santa monica california",-118.49,34.0194
2958,"palm beach",-80.0367,26.7053
2959,"nelson canada",-117.283,49.5
2960,"indianapolis",-86.1581,39.7683
2961,"toledo spain",-4.03333,39.8667
2962,"cabo san lucas",-109.9,22.88
2963,"jamaica new york",-73.8061,40.6914
2964,"knoxville",-83.9208,35.9606
2965,"palisades park",-73.9981,40.8481
2966,"oranienburg",13.2369,52.7544
2967,"juneau",-134.512,58.3514
2968,"jersey city",-74.0781,40.7281
2969,"natchez",-91.4031,31.5603
2970,"punta gorda",-82.0456,26.9294
2971,"reykjavik",-21.9333,64.1333
2972,"alkmaar",4.74639,52.6344
2973,"regensburg",12,49
2974,"genoa",8.92389,44.4167
2975,"marfa",-104.019,30.3078
2976,"philadelphia",-75.1642,39.9522
2977,"palermo",13.3667,38.1167
2978,"manchester united kingdom",-2.24,53.48
2979,"puerto morelos",-86.8753,20.8536
2980,"basel",7.6,47.566
2981,"saint petersburg",30.3333,59.9333
2982,"almagro ciudad real",-3.7167,38.8833
2983,"mosul",43.1292,36.3414
2984,"skaneateles new york",-76.4294,42.9469
2985,"marja afghanistan",64.116667,31.516667
2986,"lugano",8.95351,46.0046
2987,"chachapoyas",-77.85,-6.2167
2988,"san cristobal de las casas",-92.63,16.75
2989,"amsterdam",4.89,52.37
2990,"taormina",15.2833,37.85
2991,"pawling",-73.6031,41.5619
2992,"venice",12.3167,45.4333
2993,"xian",108.942,34.2683
2994,"ogunquit",-70.5997,43.2489
2995,"manaus",-60.0214,-3.12917
