tid,name,longtitude,latitude
205,"Sharjah (United Arab Emirates)",55.3911,25.3622
206,"Pittsfield (Mass)",-73.2454,42.4501
207,"Stockholm (Sweden)",18.0649,59.3326
208,"Hay-on-Wye (Wales)",-3.11667,52.0667
209,"Vilnius (Lithuania)",25.3167,54.6833
210,"Hobart (Tasmania)",147.333,-42.9167
211,"Bergen (Norway)",5.32428,60.3932
212,"Mammoth Lakes (Calif)",-118.972,37.6485
213,"La Paz (Bolivia)",-68.15,-16.5
214,"Bethel (NY)",-73.6337,41.9545
215,"Haines (Alaska)",-135.445,59.2358
216,"Cape Town (South Africa)",18.4167,-33.9167
217,"Pensacola (Fla)",-87.2169,30.4213
218,"Mystic (Conn)",-71.9665,41.3543
219,"New Haven (Conn)",-72.9282,41.3082
220,"Macon (Ga)",-83.6324,32.8407
221,"Lugano (Switzerland)",8.96004,46.0101
222,"Oslo (Norway)",10.7389,59.9132
223,"Amara (Iraq)",47.1753,31.8453
224,"Ho Chi Minh City (Vietnam)",106.667,10.75
225,"Ojai (Calif)",-119.243,34.448
226,"Santiago de Compostela (Spain)",-8.54569,42.8805
227,"Giza (Egypt)",31.2122,30.0086
228,"Bern (Switzerland)",7.44744,46.9481
229,"Cleveland (Ohio)",-81.6954,41.4995
230,"Paris (Texas)",-95.5555,33.6609
231,"Avignon (France)",4.81667,43.95
232,"Goreme (Turkey)",34.8639,38.6486
233,"London (England)",-0.125533,51.5084
234,"Hanoi (Vietnam)",105.85,21.0333
235,"Chennai (India)",80.2785,13.0878
236,"Armonk (NY)",-73.714,41.1265
237,"Los Angeles (Calif)",-118.244,34.0522
238,"Diamond District (NYC)",-73.9786,40.7566
239,"Rotterdam (Netherlands)",4.47917,51.9225
240,"Naypyidaw (Myanmar)",96.1297,19.745
241,"Kufa (Iraq)",44.4033,32.0347
242,"Petropolis (Brazil)",-43.1786,-22.505
243,"Hague (Netherlands)",4.29861,52.0767
244,"Korcula (Croatia)",17.1369,42.9622
245,"Cartagena (Colombia)",-75.5144,10.3997
246,"Agra (India)",78.0167,27.1833
247,"Manaus (Brazil)",-60.025,-3.10194
248,"Puerto Jimenez (Costa Rica)",-83.3167,8.53333
249,"York (England)",-1.08333,53.9667
250,"Verbier (Switzerland)",7.21667,46.1
251,"Bowery (NYC)",,
252,"Marseille (France)",5.4,43.3
253,"Locust Valley (NY)",-73.5971,40.8759
254,"Kelowna (British Columbia)",-119.486,49.8831
255,"Galway (Ireland)",-9.04889,53.2719
256,"Baquba (Iraq)",44.6411,33.75
257,"Hue (Vietnam)",107.6,16.4667
258,"North Salem (NY)",-73.5712,41.3348
259,"Nashville (Tenn)",-86.7844,36.1659
260,"Siwa (Egypt)",25.5167,29.2
261,"Luxor (Egypt)",32.6421,25.6989
262,"Jerusalem (Israel)",35.2253,31.779
263,"Freeport (Me)",-70.1031,43.857
264,"Algiers (Algeria)",3.05056,36.7631
265,"Louisville (Ky)",-85.7594,38.2542
266,"Dhaka (Bangladesh)",90.4086,23.7231
267,"Udaipur (India)",73.6918,24.5712
268,"Edinburgh (Scotland)",-3.2,55.95
269,"Florianopolis (Brazil)",-48.5492,-27.5967
270,"Nice (France)",7.26608,43.7031
271,"Manila (Philippines)",120.982,14.6042
272,"Kansas City (Mo)",-94.5786,39.0997
273,"Samthar (India)",88.5,26.9833
274,"Jaffna (Sri Lanka)",80,9.66667
275,"Cannes (France)",7.01667,43.55
276,"Puno (Peru)",-70.0333,-15.8333
277,"Newark (NJ)",-74.1724,40.7357
278,"Aix-en-Provence (France)",5.44973,43.5283
279,"Mendoza (Argentina)",-68.8167,-32.8833
280,"Montreal (Quebec)",-73.5878,45.5088
281,"Kanazawa (Japan)",136.65,36.5667
282,"Vevey (Switzerland)",6.84328,46.4612
283,"Placencia (Belize)",-88.3667,16.5167
284,"Northport (NY)",-73.3432,40.9009
285,"Montclair (NJ)",-74.209,40.8259
286,"Najaf (Iraq)",44.3147,31.9961
287,"Ridgefield (Conn)",-73.4982,41.2815
288,"Rye Brook (NY)",-73.6835,41.0193
289,"Jaipur (India)",75.8167,26.9167
290,"Catano (Puerto Rico)",-66.1182,18.4413
291,"Calgary (Alberta)",-114.085,51.0501
292,"Larchmont (NY)",-73.7518,40.9279
293,"Hanau (Germany)",8.91667,50.1333
294,"Taormina (Italy)",15.2885,37.8536
295,"Guangzhou (China)",113.25,23.1167
296,"Pecs (Hungary)",18.2333,46.0833
297,"Kew Gardens (NYC)",-73.831,40.7143
298,"Recife (Brazil)",-34.8811,-8.05389
299,"Karbala (Iraq)",44.0161,32.5978
300,"Venice (Italy)",12.3267,45.4386
301,"Leipzig (Germany)",12.3713,51.3396
302,"Luang Prabang (Laos)",102.135,19.8856
303,"Key Largo (Fla)",-80.4473,25.0865
304,"Limoges (France)",1.25,45.85
305,"Pisa (Italy)",10.3965,43.7175
306,"Akihabara (Tokyo)",139.767,35.7
307,"Antalya (Turkey)",30.6897,36.9125
308,"Samarra (Iraq)",43.8758,34.1958
309,"Paris (France)",2.3488,48.8534
310,"Oakland (Calif)",-122.271,37.8044
311,"Bologna (Italy)",11.3387,44.4938
312,"Reno (Nev)",-119.814,39.5296
313,"Santo Domingo (Dominican Republic)",-69.9,18.4667
314,"Bradford (England)",-1.75206,53.7939
315,"Les Eyzies-de-Tayac (France)",1.01327,44.9359
316,"Osaka (Japan)",135.502,34.6937
317,"Miami (Fla)",-80.1937,25.7743
318,"Beaune (France)",4.83333,47.0333
319,"Chengde (China)",117.936,40.9725
320,"Bhopal (India)",77.4,23.2667
321,"Valencia (Spain)",-0.377387,39.4698
322,"Lyon (France)",4.85,45.75
323,"Luanda (Angola)",13.2344,-8.83833
324,"Clarence Center (NY)",-78.6375,43.0106
325,"Annecy (France)",6.11667,45.9
326,"Siem Reap (Cambodia)",103.85,13.3667
327,"Manchester (Vt)",-73.0723,43.1637
328,"Omaha (Neb)",-95.9378,41.2586
329,"Olinda (Brazil)",-34.8553,-8.00889
330,"Ocean Grove (NJ)",-74.0065,40.2121
331,"Puerto Morelos (Mexico)",-86.8824,20.8417
332,"Krakow (Poland)",19.9167,50.0833
333,"Lausanne (Switzerland)",6.63282,46.516
334,"Bayeux (France)",-0.7,49.2667
335,"Liverpool (England)",-2.97794,53.4106
336,"Lanai (Hawaii)",-156.922,20.8306
337,"Lahinch (Ireland)",-9.34528,52.9367
338,"Malaga (Spain)",-4.42034,36.7202
339,"Santa Monica (Calif)",-118.491,34.0195
340,"Arles (France)",4.63031,43.6768
341,"Zagreb (Croatia)",16,45.8
342,"Franschhoek (South Africa)",19.1167,-33.9167
343,"Chernobyl (Ukraine)",30.2333,51.2667
344,"Kansas City (Kan)",-94.6275,39.1142
345,"Veracruz (Mexico)",-96.1333,19.2
346,"Las Cruces (NM)",-106.778,32.3123
347,"Sarasota (Fla)",-82.5307,27.3364
348,"Cancun (Mexico)",-86.8466,21.1743
349,"Kabul (Afghanistan)",69.1833,34.5167
350,"Turin (Italy)",7.68682,45.0705
351,"Shelter Island (NY)",-72.3387,41.0682
352,"Bormio (Italy)",10.3721,46.4684
353,"Fujairah (United Arab Emirates)",56.3375,25.1231
354,"Ronda (Spain)",-5.16709,36.7423
355,"Peshawar (Pakistan)",71.5733,34.0078
356,"Brasilia (Brazil)",-47.9297,-15.7797
357,"Pasadena (Calif)",-118.145,34.1478
358,"Aubusson (France)",2.16667,45.95
359,"Nagano (Japan)",138.183,36.65
360,"Tirana (Albania)",19.8189,41.3275
361,"Malindi (Kenya)",40.1167,-3.21667
362,"Basel (Switzerland)",7.6,47.5667
363,"Mont Tremblant (Canada)",-74.6264,46.1949
364,"Karlovy Vary (Czech Republic)",12.8712,50.2327
365,"Cuzco (Peru)",-71.9781,-13.5183
366,"Istanbul (Turkey)",28.9497,41.0138
367,"Queenstown (New Zealand)",168.663,-45.0302
368,"St Michaels (Md)",-76.2244,38.7851
369,"Jamesport (NY)",-72.5815,40.9495
370,"Dresden (Germany)",13.7383,51.0509
371,"Cordoba (Spain)",-4.76667,37.8833
372,"Split (Croatia)",16.4392,43.5089
373,"Stellenbosch (South Africa)",18.85,-33.9333
374,"St Moritz (Switzerland)",9.83333,46.5
375,"Dharamsala (India)",76.3167,32.2167
376,"Norwalk (Conn)",-73.4079,41.1176
377,"Dublin (Ireland)",-6.24889,53.3331
378,"Shimla (India)",77.1667,31.1
379,"Killington (Vt)",-72.7798,43.6776
380,"Hiroshima (Japan)",132.45,34.4
381,"Patzcuaro (Mexico)",-101.6,19.5167
382,"Katmandu (Nepal)",85.3167,27.7167
383,"Lake Louise (Canada)",-116.235,51.4167
384,"Ayodhya (India)",82.2,26.8
385,"Damascus (Syria)",36.3,33.5
386,"Zanzibar (Tanzania)",39.1979,-6.16394
387,"Palenque (Mexico)",-91.9667,17.5167
388,"Punta Gorda (Belize)",-88.8,16.1
389,"Chachapoyas (Peru)",-77.869,-6.23169
390,"Lafayette (La)",-92.0198,30.2241
391,"Palmetto (Ga)",-84.6697,33.5179
392,"Vezelay (France)",3.73333,47.4667
393,"North Adams (Mass)",-73.1087,42.7009
394,"Mott Haven (NYC)",-73.9229,40.809
395,"Toledo (Spain)",-4.02263,39.8581
396,"Buzios (Brazil)",-41.8817,-22.7469
397,"New Brunswick (NJ)",-74.4518,40.4862
398,"Geneva (Switzerland)",6.14569,46.2022
399,"Chamonix (France)",6.86667,45.9167
400,"Brussels (Belgium)",4.35277,50.8466
401,"New Orleans (La)",-90.0751,29.9546
402,"Bogota (Colombia)",-74.0833,4.6
403,"Canaima (Venezuela)",-63.1917,10.6311
404,"Metuchen (NJ)",-74.3632,40.5432
405,"Monopoli (Italy)",17.2896,40.9559
406,"Berchtesgaden (Germany)",13,47.6333
407,"Lagos (Nigeria)",3.39583,6.45306
408,"San Juan (Puerto Rico)",-66.1057,18.4663
409,"Ushuaia (Argentina)",-68.3,-54.8
410,"Southampton (England)",-1.4,50.9
411,"Chengdu (China)",104.067,30.6667
412,"St-Tropez (France)",6.63333,43.2667
413,"Maplewood (NJ)",-74.2735,40.7312
414,"Amenia (NY)",-73.5568,41.8493
415,"Rossville (NYC)",-74.2135,40.5557
416,"Falluja (Iraq)",43.7828,33.3561
417,"Paterson (NJ)",-74.1718,40.9168
418,"Akaroa (New Zealand)",172.97,-43.7983
419,"Orleans (France)",1.9,47.9167
420,"El Calafate (Argentina)",-72.2768,-50.3407
421,"Long Beach (Calif)",-118.189,33.767
422,"Cascais (Portugal)",-9.42146,38.6979
423,"Verdun (France)",5.38333,49.1667
424,"Hunts Point (NYC)",-73.884,40.8126
425,"Dominical (Costa Rica)",-83.8667,9.25
426,"Sago (West Va)",-80.2301,38.9143
427,"Dragor (Denmark)",12.6664,55.5945
428,"SoHo (NYC)",-73.9996,40.7224
429,"Montecito (Calif)",-119.632,34.4367
430,"Jackson (Miss)",-90.1848,32.2988
431,"Cahors (France)",1.43663,44.4491
432,"Ulyanovsk (Russia)",48.3858,54.3189
433,"Strasbourg (France)",7.75,48.5833
434,"Hopewell Junction (NY)",-73.8087,41.584
435,"Golfito (Costa Rica)",-83.15,8.65
436,"Passaic (NJ)",-74.1285,40.8568
437,"Cabarete (Dominican Republic)",-70.4,19.75
438,"Darjeeling (India)",88.2667,27.0333
439,"Dunhuang (China)",94.6833,40.1667
440,"Abu Dhabi (United Arab Emirates)",54.3667,24.4667
441,"Fez (Morocco)",-4.98,34.05
442,"St Ives (England)",-5.4875,50.2086
443,"Colmar (France)",7.36667,48.0833
444,"Trieste (Italy)",13.78,45.6486
445,"Xalapa (Mexico)",-96.9167,19.5333
446,"Hot Springs (Ark)",-93.0552,34.5037
447,"Old Lyme (Conn)",-72.329,41.3159
448,"Bangkok (Thailand)",100.517,13.75
449,"Shanksville (PA)",-78.9072,40.0179
450,"Mantua (Italy)",10.7738,45.1521
451,"Dakar (Senegal)",-17.4439,14.6951
452,"Aveiro (Portugal)",-8.65,40.6333
453,"Ravenna (Italy)",12.2011,44.4175
454,"Dafen (China)",113.378,23.9747
455,"Long Beach (NY)",-73.6579,40.5884
456,"Soweto (South Africa)",27.8667,-26.2667
457,"Amalfi (Italy)",14.6024,40.6349
458,"Versailles (France)",2.13333,48.8
459,"Cutchogue (NY)",-72.4851,41.0107
460,"Nantucket (Mass)",-70.0995,41.2835
461,"San Cristobal de las Casas (Mexico)",-92.6333,16.75
462,"Kalkan (Turkey)",29.4153,36.2656
463,"Niagara Falls (Ontario)",-79.0663,43.1001
464,"Lockerbie (Scotland)",-3.35,55.1167
465,"Las Vegas (Nev)",-115.137,36.175
466,"Messene (Greece)",22.0078,37.0511
467,"Ixtapa (Mexico)",-101.642,17.6678
468,"Aswan (Egypt)",32.8989,24.0875
469,"Rio de Janeiro (Brazil)",-43.2075,-22.9028
470,"Fontainebleau (France)",2.7,48.4
471,"Missoula (Mont)",-113.994,46.8721
472,"Canberra (Australia)",149.128,-35.2835
473,"Amman (Jordan)",35.9333,31.95
474,"Mashpee (Mass)",-70.4811,41.6484
475,"Cadiz (Spain)",-6.29944,36.5336
476,"Sheepshead Bay (NYC)",-73.9446,40.5912
477,"Bordeaux (France)",-0.566667,44.8333
478,"Honolulu (Hawaii)",-157.858,21.3069
479,"Bourges (France)",2.4,47.0833
480,"Scranton (Pa)",-75.6624,41.409
481,"Silver City (NM)",-108.28,32.7701
482,"Chartres (France)",1.48925,48.4469
483,"Nagoya (Japan)",136.906,35.1815
484,"Montgomery (Ala)",-86.3,32.3668
485,"Manchester (NH)",-71.4548,42.9956
486,"Cahuita (Costa Rica)",-82.85,9.73333
487,"Cochin (India)",76.2333,9.96667
488,"Glasgow (Scotland)",-4.25763,55.8652
489,"Hood River (Ore)",-121.521,45.7054
490,"Sochi (Russia)",39.7303,43.6
491,"Palisades Park (NJ)",-73.9976,40.8482
492,"Salem (Mass)",-70.8967,42.5195
493,"Ocean City (Md)",-75.0849,38.3365
494,"Urgup (Turkey)",34.9131,38.6314
495,"Inwood (NYC)",-73.9268,40.8657
496,"City Island (NYC)",-73.7865,40.8473
497,"Helsinki (Finland)",24.9342,60.1756
498,"Marathon (Fla)",-81.0904,24.7138
499,"Phuket (Thailand)",98.4,7.88333
500,"Santa Barbara (Calif)",-119.698,34.4208
501,"Port Elizabeth (South Africa)",25.5833,-33.9667
502,"Sintra (Portugal)",-9.38333,38.8
503,"Orlando (Fla)",-81.3792,28.5383
504,"Niagara Falls (NY)",-79.0567,43.0945
505,"Belize City (Belize)",-88.1976,17.4995
506,"Johannesburg (South Africa)",28.0833,-26.2
507,"Antigua (Guatemala)",-90.7344,14.5611
508,"Courchevel (France)",6.65,45.4167
509,"Huntington Beach (Calif)",-117.999,33.6603
510,"Oklahoma City (Okla)",-97.5164,35.4676
511,"Genoa (Italy)",8.93386,44.4063
512,"Liberia (Costa Rica)",-85.4333,10.6333
513,"Uppsala (Sweden)",17.6454,59.8585
514,"Durban (South Africa)",31.0167,-29.85
515,"Cambridge (England)",0.116667,52.2
516,"Grasse (France)",6.91667,43.6667
517,"Dusseldorf (Germany)",6.77616,51.2217
518,"Rome (Italy)",12.4833,41.9
519,"Sderot (Israel)",34.5833,31.5167
520,"Cologne (Germany)",6.95,50.9333
521,"Mosul (Iraq)",43.1189,36.335
522,"Thessaloniki (Greece)",22.9439,40.6403
523,"Rockland (Me)",-69.1089,44.1037
524,"Chichen Itza (Mexico)",-88.5667,20.6667
525,"Cobble Hill (NYC)",-73.9981,40.6875
526,"Garment District (NYC)",-73.9935,40.752
527,"Bedford-Stuyvesant (NYC)",-73.9412,40.6834
528,"Vina del Mar (Chile)",-71.5518,-33.0246
529,"Klosterneuburg (Austria)",16.3252,48.3052
530,"San Diego (Calif)",-117.157,32.7153
531,"La Rochelle (France)",-1.15,46.1667
532,"Szentendre (Hungary)",19.0756,47.6694
533,"Palm Springs (Calif)",-116.545,33.8303
534,"Cardiff (Wales)",-3.18,51.48
535,"Boquete (Panama)",-82.4333,8.78333
536,"Cork (Ireland)",-8.49583,51.8986
537,"Falmouth (Mass)",-70.6148,41.5515
538,"Irvington (NJ)",-74.2349,40.7323
539,"Giverny (France)",1.53333,49.0667
540,"Stuttgart (Germany)",9.17702,48.7823
541,"Millbrook (NY)",-73.694,41.7851
542,"Ajman (United Arab Emirates)",55.435,25.4111
543,"Riga (Latvia)",24.1,56.95
544,"St Paul (Minn)",-93.0933,44.9444
545,"Pattaya (Thailand)",100.883,12.9333
546,"Merka (Somalia)",44.8833,1.71667
547,"Oxford (England)",-1.25596,51.7522
548,"Pawling (NY)",-73.6026,41.562
549,"Providence (RI)",-71.4128,41.824
550,"San Miguel de Allende (Mexico)",-100.75,20.9167
551,"Simi Valley (Calif)",-118.781,34.2694
552,"Malmo (Sweden)",13.0007,55.6059
553,"Ogunquit (Me)",-70.5992,43.249
554,"Honfleur (France)",0.232944,49.4199
555,"Bam (Iran)",58.3619,29.1078
556,"Tel Aviv (Israel)",34.7647,32.0678
557,"Kiawah Island (SC)",-80.0848,32.6082
558,"Red Hook (NYC)",-74.0047,40.6753
559,"Bursa (Turkey)",29.0611,40.1917
560,"Fukuoka (Japan)",130.4,33.5833
561,"Nantes (France)",-1.55336,47.2173
562,"Madison (Conn)",-72.5984,41.2795
563,"Minneapolis (Minn)",-93.2638,44.98
564,"Richmond (Va)",-77.4603,37.5538
565,"Santiago (Chile)",-70.5666,-33.4263
566,"Shenzhen (China)",114.068,22.5455
567,"Nasiriya (Iraq)",46.2594,31.0542
568,"Davos (Switzerland)",9.83723,46.8043
569,"Long Branch (NJ)",-73.9924,40.3043
570,"Silverton (Colo)",-107.665,37.8119
571,"Natal (Brazil)",-35.2094,-5.795
572,"Xian (China)",108.929,34.2583
573,"Panama City (Panama)",-79.5333,8.96667
